user_id,spotify_id
5626,0MRJR6Vi7XRaXbBe1H9WN1
5619,2ax3vt8p5JdZdZztZWQJfT
461358,3w4YOuked8ndtH7mV9z5gH
5353,3HBX26at2uTocfo6zcjAxp
387090,4kUHhXm6tx1lMi1RdqDQgu
5395,1pR4xE2biidDOje4Pb0Yrd
5374,7pHGQcurcGNZ2M3018eH8o
5425,3D3sl90bSt3YjcLiXmULez
5609,562Yi4nMGGWU8zx0EExbHp
5380,53gBJot4NtKHSCLTuUdTYR
5571,4HNhfTXtdn2eNm1qZBO4L4
275899,3uHyugBAck80YiOEpV38Sw
5608,4BUJZiPE6zCAY0CzQZhhTl
5214,5cCrpkOYF2pppn4RuMVYt0
5496,2tSMB99tdqhZquDYsxRQUW
5593,4FB0ZlyDLV9zyvtJLNmZNw
5411,7zCq8vgkPzNWk0fnJv6M6U
5283,7EOozycZAYEZt6V4vZkR53
118961,1f5l7IR2zQLoyJdatCXtsA
5254,2pQj31A8LgfwBTGmhHdRXa
5627,1jlfU8SGrJCupzBHOGY7Dd
188249,7MaBlFxttoYCu6BAluUakm
5382,7wRVohawGTBOr0KGEK4ZoB
410274,2Ya9Kk8AmLFlIdP0brWEYA
5486,0zCMEsYfOuDWtg181YHVSk
5564,625XmzIy4SOPMhgebWstfy
5697,4VYr2jD1AzhmEyT2L8xTg4
5637,6pvf4S2LL3PDEACQSmYTcq
5459,0EFmOtI513PheI6td8B5WV
5297,6HzVTgf7SWVWNo93bT5TEv
5595,5SDn9sHzkRzEBL9iHkoaRT
993,1WrfmJq4CdsQ5wfGo0Tbqi
491,6TSfc5IHkmdbTsZaO1bL9y
985,2mW2gnXQtk2BIXdmxusmEa
517,0yt23U0gYV3L7a4WQdaFqT
354711,1qabWcbsNMlNFasSVIBmc6
169818,37M183W72rRq3Zmk8OvoLO
23587,1HFn3AIKzJLeqFrFYRJLio
151261,73nhDjV35w27LbOT1e9Gv5
23681,7Cyp4KiHoQL9BsvKu9nVpz
363972,0fnjEr89TcfKGgNp8l388u
536,4J8nCSHWHbf4a5YUkRy9Da
543,6x10Asy3DdYF6xGzI4AKiH
958,16s0x3o23rdxAvhnRM0MGp
128282,67pPzsN0Jtz6YYIr4To72U
977,7GaLv7Pybxuo62iezlMb63
179014,1G9K6Fs0q9pMOyFIhC6O6z
69769,3vQqZPJjE32qvDB6vEswGU
496,2uYe2yo7VRjf6qgBp1Zrkh
501,3ltaDf1sn80tQeHbPYjB7j
23653,6yzASiuq3BVRRTfnOJcLdm
5823,1YxySs5G4WbUTyHADk1d6q
5696,6k1Y2g99ykUYvY6NnW9Rlh
23684,7BJywHKzE6tGB8WiudoeTg
336046,2eVQAa1508j4c4ZxW3WLsf
1000,0PEcy5P8wVdymB375JJgW3
6261,42CYnwoOuqAPWhVgSFAVkz
6197,1NtDCbBi3GqDvVxxdPPold
6115,5rEEL14oJB3bUpcdxzRCXL
6099,7hgR8qQzVxfSgd8K6JRVGx
5383,5jhOTSY2xZXnLIaD8UXdL5
6046,6rtScDLmn7xeFY4F71v4e3
5705,5JPOULL4kbJW1MPFFrEkMB
6119,7oLBqO8iyF8KoJmT4WAeaP
5964,5rVZ6lkQUUBjriQOnkpNP0
6239,1zRLtkJcFOeCwZQyiJaDmL
6028,5IwgfGyPt1YmgsbLf61tuZ
179015,5Zv1ffkrpAh4WIdYL8zxZV
